uuid,Skills Power,Health,Max Health,Play Time,Money,Job,Groups,Mobs,Name,money,job,mame,skills_power,max_health,health,groups,play_time,name,online
43f18532-d4ff-329b-a904-0dc13a93e7db,,20.0,20.0,20m 33s,$65," - ",,,vinizninn,0.0," - ",vinizninn,,,,,,vinizninn,no
e9648a74-5c09-346a-a876-f91ad896837a,31,20.0,20.0,8h 3m 44s,$165.29," - ",default,16,_xXSlowXx_,0.0," - ",_xXSlowXx_,,,,,,_xXSlowXx_,no
5fcb0634-a23f-3d70-b76b-5f67eae461d5,,20.0,20.0,11m 36s,$330," - ",,,Thur73,0.0," - ",Thur73,,,,,,Thur73,no
20358d08-fbd4-3243-ae26-0f02e2ba3a33,,19.01247787475586,20.399999618530273,1h 53m 54s,$1.03k," - ",,,x__serafim__x,0.0," - ",x__serafim__x,,,,,,x__serafim__x,no
5740c43a-0311-32fe-be58-ac193ed1e82d,0,20.0,20.0,2h 38m 43s,$124.09," - ",default,1,biribiri,0.0," - ",biribiri,,,,,,biribiri,no
00000000-0000-0000-0009-01f8616424a3,,20.0,20.0,41m 48s,$139.75," - ",,,Nilson156780,0.0," - ",Nilson156780,,,,,,Nilson156780,no
33a69612-baed-3aef-8915-210d58219164,,10.87552261352539,20.0,15m 2s,$102," - ",,,adrianngggg,0.0," - ",adrianngggg,,,,,,adrianngggg,no
423a8470-15f9-3a29-af12-781d43ca3066,,20.0,20.0,4h 10m 27s,$168.10," - ",,,JorgeAttem,0.0," - ",JorgeAttem,,,,,,JorgeAttem,no
f5cd6d14-9ea9-3480-90ca-28df771127ef,,20.0,20.0,1m 10s,$100," - ",,,Yullycs,0.0," - ",Yullycs,,,,,,Yullycs,no
dfd505fe-bc7b-3610-937a-43b95bf6fe26,,0.26293474435806274,20.0,33m 4s,$108," - ",,,wasftttt,0.0," - ",wasftttt,,,,,,wasftttt,no
0334fb1b-d469-3d56-ac4c-ee379b8b1b65,,9.371979713439941,20.0,3h 31m 7s,$148.79," - ",,,wasunee,0.0," - ",wasunee,,,,,,wasunee,no
00000000-0000-0000-0009-01f951f0d862,37,20.0,20.0,12h 29m 18s,$1k," - ","default, rank_castaway",19,FinishedMango93,0.0," - ",FinishedMango93,,,,,,FinishedMango93,no
3d7f8f63-a9ba-3842-945e-3f0b1acdfd2f,,20.0,20.0,28s,$100," - ",,,servercheck9719,0.0," - ",servercheck9719,,,,,,servercheck9719,no
528a392d-1b1d-3b9a-85b0-130bc5d7ac2d,,20.0,20.0,35m 3s,$100," - ",,,Bradock,0.0," - ",Bradock,,,,,,Bradock,no
e219a956-0fd7-37dd-880c-61745b50c185,,19.0,20.0,16m 8s,$110.03," - ",,,caualelek32,0.0," - ",caualelek32,,,,,,caualelek32,no
a8521454-024e-31fd-a614-2278a03b9e86,42,20.0,20.0,19h 43m 6s,$2.42k," - ","default, rank_rookie",21,HeyPeter557,0.0," - ",HeyPeter557,42,20.0,20.0,"default, rank_rookie",71182,HeyPeter557,no
8dcfbec1-8bae-3f22-832c-d3b434684491,13,21.200000762939453,21.200000762939453,6h 29m 11s,$30.17," - ",default,7,marteinmax2,0.0," - ",marteinmax2,,,,,,marteinmax2,no
7d1fbb6b-c111-32d7-ab39-2bb96e10b4b6,9,0.0,20.0,44m 41s,$100," - ",,,pedrinh0br1231,0.0," - ",pedrinh0br1231,,,,,,pedrinh0br1231,no
ab9bdf2e-cb0c-35b2-8e0b-f0bf95fb58a1,,,,,$100," - ",,,Hereges,0.0," - ",Hereges,,,,,,Hereges,no
00000000-0000-0000-0009-01f2b1b9953f,,,,,$100," - ",,,ShockedScroll59,0.0," - ",ShockedScroll59,,,,,,ShockedScroll59,no
fe852c07-1136-33e5-8dde-f94759244ccc,,,,,$1.14k," - ",,,0WD_Gaster0,0.0," - ",0WD_Gaster0,,,,,,0WD_Gaster0,no
a592585f-019b-387a-b0d5-2a7ffb46daf7,,,,,$120.44," - ",,,YanGabriel20,0.0," - ",YanGabriel20,,,,,,YanGabriel20,no
